"Car_name","Make","Car_name_link","Battery","Efficiency","Fast_charge","Price","Range","Top_speed","Acceleration","Price_lambda"
"Tesla Model S Dual Motor","Tesla","https://ev-database.org/car/1404/Tesla-Model-S-Dual-Motor",95,165,800,95970,575,250,3.2,1.41386127547638
"BYD DOLPHIN 60.4 kWh","BYD","https://ev-database.org/car/1919/BYD-DOLPHIN-604-kWh",60.5,178,340,35990,340,160,7,1.41343654469244
"CUPRA Born 150 kW - 58 kWh","CUPRA","https://ev-database.org/car/1516/CUPRA-Born-150-kW---58-kWh",58,166,470,39370,350,160,7.3,1.41348876571581
"Dacia Spring Electric 45","Dacia","https://ev-database.org/car/1705/Dacia-Spring-Electric-45",25,152,180,22550,165,125,19.1,1.41310388499842
"BMW i5 eDrive40 Sedan","BMW","https://ev-database.org/car/1906/BMW-i5-eDrive40-Sedan",81.2,171,710,70200,475,193,6,1.41375625307793
"BMW i4 M50","BMW","https://ev-database.org/car/1519/BMW-i4-M50",80.7,179,700,70800,450,225,3.9,1.41375942962784
"Opel Astra Electric","Opel","https://ev-database.org/car/1792/Opel-Astra-Electric",50.8,167,490,41990,305,170,9.2,1.41352425597308
"MG ZS EV Long Range","MG","https://ev-database.org/car/1541/MG-ZS-EV-Long-Range",68.3,185,420,37990,370,175,8.4,1.41346840365267
"BMW i7 xDrive60","BMW","https://ev-database.org/car/1676/BMW-i7-xDrive60",101.7,199,760,139900,510,240,4.7,1.41396056696121
"Toyota bZ4X FWD","Toyota","https://ev-database.org/car/1564/Toyota-bZ4X-FWD",64,188,510,47490,340,160,7.5,1.41358772500693
"Volvo EX30 Single Motor","Volvo","https://ev-database.org/car/1909/Volvo-EX30-Single-Motor",49,175,430,36590,280,180,5.7,1.41344641419687
"Smart #1","Smart","https://ev-database.org/car/1667/Smart-1",62,185,520,42490,335,180,6.7,1.41353060261413
